link,title,district,description,price
https://www.list.am/item/15359100,"Աջափնյակ, 3 սեն., 70 ք.մ., 14/14 հարկ",Աջափնյակ,"3 սենյականոց բնակարան Բաշինջաղյան փողոցում, 70 ք.մ., մի քանի պատշգամբ, կապիտալ վերանորոգված",95000
https://www.list.am/item/20860875,"Աջափնյակ, 3 սեն., 80 ք.մ., 4/16 հարկ",Աջափնյակ,"3 սենյականոց բնակարան, Բաշինջաղյան փողոց 2-րդ նրբանցք, 80 ք.մ., 4/16 հարկ, 2 սանհանգույց",110000
https://www.list.am/item/19433573,"Աջափնյակ, 3 սեն., 78 ք.մ., 5/5 հարկ",Աջափնյակ,"3 սենյականոց բնակարան Մարգարյան փողոցում, 78 ք.մ., կապիտալ վերանորոգված, քարե շենք",108000
https://www.list.am/item/20864672,"Աջափնյակ, 2 սեն., 76 ք.մ., 10/14 հարկ",Աջափնյակ,"2 սենյականոց բնակարան Շիրազի փողոցում, 76 ք.մ., 10/14 հարկ, մի քանի պատշգամբ, կապիտալ վերանորոգված",85000
https://www.list.am/item/20129537,"Աջափնյակ, 3 սեն., 75 ք.մ., 4/5 հարկ",Աջափնյակ,"3 սենյականոց բնակարան Լենինգրադյան փողոցում, 75 ք.մ., նախավերջին հարկ, մի քանի պատշգամբ",87500
https://www.list.am/item/20130494,"Աջափնյակ, 3 սեն., 75 ք.մ., 3/5 հարկ",Աջափնյակ,"3 սենյականոց բնակարան Լենինգրադյան փողոցում, 75 ք.մ., 3/5 հարկ, մի քանի պատշգամբ",88000
https://www.list.am/item/19616304,"Աջափնյակ, 2 սեն., 76 ք.մ., 5/14 հարկ",Աջափնյակ,"2 սենյականոց բնակարան Բաշինջաղյան փողոցում, 76 ք.մ., 5/14 հարկ, կապիտալ վերանորոգված",117000
https://www.list.am/item/20869247,"Աջափնյակ, 2 սեն., 70 ք.մ., 11/12 հարկ",Աջափնյակ,"2 սենյականոց բնակարան նորակառույց շենքում Շինարարների փողոցում, 70 ք.մ., նախավերջին հարկ",110000
https://www.list.am/item/18952317,"Աջափնյակ, 3 սեն., 71 ք.մ., 2/4 հարկ",Աջափնյակ,"3 սենյականոց բնակարան Լենինգրադյան փողոցում, 71 ք.մ., 2/4 հարկ, կապիտալ վերանորոգված, քարե շենք",120000
https://www.list.am/item/20600567,"Աջափնյակ, 3 սեն., 78 ք.մ., 4/5 հարկ",Աջափնյակ,"3 սենյականոց բնակարան Բաշինջաղյան փողոցում, 78 ք.մ., նախավերջին հարկ, մի քանի պատշգամբ",125000
